Nome,ate1930,ate1940,ate1950,ate1960,ate1970,ate1980,ate1990,ate2000,ate2010
RENATO,970,3105,8703,20345,36205,66737,104369,61347,27754
FLAVIO,540,1983,5601,12805,29000,67381,78573,43084,27752
JONAS,1164,2858,5936,9993,16153,18930,35235,47531,27305
BERNARDO,697,1631,2747,3408,3641,3680,6698,7149,27242
GISELE,46,117,203,974,6337,21822,72907,35822,27115
PATRICIA,140,274,515,2304,18006,152381,207672,122680,27093
WESLEI,,,21,57,374,2751,12000,28929,26943
GIOVANNA,26,47,41,64,277,727,1283,8066,26907
MICHELE,40,84,99,237,661,19315,96613,58190,26764
LUCIANO,501,1373,3147,7540,22605,126488,98628,50596,26614
EMILE,,,,24,31,88,541,4204,26357
RICHARD,26,76,163,430,1084,3126,5219,13807,26339
ADRIAN,,,21,37,164,526,961,2458,26239
ANNA,2111,3937,2440,1350,1583,2325,5753,9882,26228
MELISSA,,30,43,59,178,4465,4555,8523,26034
ELEN,,41,91,324,1066,3666,11571,17684,26027
MARCIO,174,803,3694,12246,49991,180626,146234,48275,26003
JORGE,4029,13422,34447,99457,113041,72693,60551,42672,25637
MARCO,118,495,3915,15646,47806,52588,34299,27747,25462
EMANUELE,,,,23,40,592,5197,7208,25104
ERIK,,,26,49,224,1356,5117,10892,24735
FRANCIELE,,,,32,125,1131,27917,58734,24526
VIVIANE,31,41,169,750,4648,49012,101090,50667,24414
IAN,,,30,62,107,219,981,10245,24399
ELOISA,278,718,2438,4978,6779,5682,5815,7627,24392
KEVIN,,,,23,44,81,358,10509,24275
PAOLA,,20,62,89,436,1435,7501,16811,24199
KAIO,,,,,62,252,1932,9134,24104
CLEITON,,37,154,494,1662,13094,46609,43510,23913
KAUE,,,,,,90,1031,4551,23740
SAMIRA,,100,143,409,835,1483,5485,6063,23719
MAURICIO,682,2625,6503,16776,35981,50019,50345,49197,23650
MAISA,30,73,225,1031,3296,3967,6259,13625,23638
EDSON,908,5012,15066,43511,90073,111469,94245,47853,23406
ROBERTA,167,306,487,874,4377,24088,55914,34171,23169
LUISA,2142,3868,5250,6435,6828,4336,5432,11154,23094
ROBSON,55,166,489,4445,18531,49060,85165,55293,23078
NAIARA,,,22,91,317,1207,15175,45765,23028
ALESSANDRO,21,42,85,279,1663,44195,51298,30065,22843
KAILANE,,,,,,,76,382,22802
ISABELLA,,,22,45,253,546,2287,10459,22763
ELIAS,1923,5192,11542,21677,32978,35340,32798,26748,22504
LAVINIA,210,265,277,302,255,333,269,4331,22459
MARLON,,,46,292,1930,6068,15098,27250,22259
FILIPE,54,97,139,192,294,1013,11353,26428,22162
KAUANE,,,,,,,91,2380,22148
HELOISA,397,971,3204,6301,7218,5298,5986,7776,22110
KAREN,,24,67,200,1161,4968,14381,25854,21876
ANDREI,,,,29,260,2059,4611,13167,21599
WILIAN,36,108,282,1060,2631,7215,24675,38326,21556
PALOMA,,,26,66,219,890,10739,45940,21508
NATANAEL,255,747,1827,3492,5183,6559,9668,21411,21503
MOISES,1042,2372,4869,9051,17977,20782,26998,20716,21437
JANAINA,29,53,159,460,3896,39120,80662,65228,21224
SARAH,143,216,174,283,517,821,3799,9339,20936
MIRELA,,,,97,279,1760,4019,7007,20888
STEFANI,,,,,44,148,2178,14358,20793
CAUE,,,,,,132,1461,4282,20651
JOANA,14520,23207,31812,43560,48839,36312,31365,19489,20628
IARA,259,1204,4235,9353,11774,11238,13301,22749,20614
ARIANE,,,48,146,712,2595,19486,30797,20566
MICAEL,,,21,30,59,260,1407,8913,20531
JONATAN,,22,62,121,273,686,12774,37945,20497
SOPHIA,172,204,84,55,59,89,326,1104,20330
KARINE,,,,43,247,5527,15211,28404,20319
ISABEL,8824,15477,22734,36416,53172,40072,26146,16582,20231
JUNIOR,38,74,162,431,2510,13337,37466,38597,20037
FABIANA,72,130,234,443,3065,68679,142807,56527,19953
ELLEN,35,43,57,232,618,2389,8129,12912,19926
AUGUSTO,2944,6175,8356,10496,12283,11509,12786,20754,19874
LUCIANA,332,604,1085,2797,18712,174777,163659,49775,19660
IZABELA,27,53,72,98,296,685,3019,11241,19476
ESTEFANE,,,,21,40,132,1315,9201,19238
GRAZIELE,,,,21,70,1535,12896,13550,19099
PIETRO,59,102,106,105,130,228,802,2080,18797
ISABELI,,,,,45,142,664,3472,18660
PRISCILA,130,171,285,552,1371,14060,111262,76723,18574
NATALI,25,44,59,108,159,748,5156,11761,18559
RAISA,,,,,27,82,1114,8909,18468
JOSUE,564,1595,3677,7294,12722,14769,17256,15421,18464
HEITOR,399,939,1411,1788,1934,1487,3244,7203,18347
MAYARA,,,,29,85,368,10942,45427,18206
POLIANA,,,38,78,369,3356,31377,31273,18041
ROBERTO,1601,6778,23053,56557,105051,108253,81501,36506,17988
JONATAS,37,90,189,441,824,1582,14125,25924,17904
ISAQUE,71,167,404,897,1746,2259,4738,7074,17830
RAYANE,,,,,26,100,1624,19505,17791
ISRAEL,409,1257,2910,5722,10251,12801,20103,23155,17717
RAMON,143,358,522,819,1521,3145,12169,26429,17701
EZEQUIEL,231,622,1312,2823,5216,7879,14195,14705,17695
LAISA,,27,42,77,125,408,2332,8616,17688
KARINA,,29,46,116,840,15225,41812,42115,17682
ICARO,,,61,72,152,360,3031,10525,17668
SERGIO,947,4647,17116,53210,106819,107584,65055,32069,17544
EVELYN,,31,56,161,249,706,3467,7852,17513
ADRIANA,262,489,782,2078,33477,247099,195003,71541,17237
MANOEL,28241,60061,95014,116085,112892,81728,52601,28528,17195
WANDERSON,,,33,104,677,7675,20422,30041,17060
ISAC,125,239,543,1292,2259,2862,5407,7251,17026
YAN,,,,22,61,155,566,8297,16977
AGATA,33,63,71,66,98,238,1317,4580,16958
MICHAEL,22,38,146,239,426,2496,15747,30222,16941
HELENA,9164,18843,31144,42150,36962,20423,12547,9517,16841
ELAINE,145,326,1395,5945,24424,79042,89303,39654,16839
NICOLI,,,,,,57,451,2624,16822
YAGO,,,,,29,77,358,11613,16782
ANE,,40,73,218,541,1489,5683,10616,16705
ROBERT,50,100,217,494,1116,2416,5778,11876,16686
LAIANE,,,,,27,111,3624,16359,16669
VERONICA,1162,2279,3503,6674,13900,25522,29694,20465,16628
MONIQUE,,30,31,167,504,2431,22088,26010,16519
RAYSSA,,,,,,59,503,6037,16243
CLAUDIO,993,3642,12910,36185,75178,120338,58650,28014,16121
